slug	rank	id	frozen	http	card_name	rakuten_item_name	maker_model	brand	axis_count	axis_first	card_price	current_price	stock	flags	checked_at	judged_task	sku_selected
attack-pack	1	karrimor-tatra20	0	200	カリマー タトラ20 KARRIMOR tatra20 501212 20L 腰ベルト付き ユニセックス	カリマー タトラ20 KARRIMOR tatra20 メンズ レディース ユニセックス 501212 バックパック リュック ザック 20L 腰ベルト付き 日帰り登山 ハイキング フェス おしゃれ キャンプ アウトドア	501212	KARRIMOR	カラー:3	カラー:ダークチャコール	14850	14850	qty=1	color_unspecified	2026-09-21T11:50:39Z	campkit-20260921-25	K03014dch/ダークチャコール
attack-pack	5	karrimor-cadet20	0	200	カリマー カデット20 KARRIMOR cadet20 501213 20L レディース・ジュニア向け	カリマー カデット20 KARRIMOR cadet20 レディース キッズ 501213 ジュニアバック リュック ザック 女性 子供用デイパック 20Ｌ おしゃれ キャンプ アウトドア	501213	KARRIMOR	カラー:3	カラー:ペールカーキ2	8800	11000	soldout	color_unspecified,price_mismatch	2026-09-21T11:50:39Z	campkit-20260921-25	K03199pkh2/ペールカーキ2
camp-gift	4	gift-thermal-bottle	0	200	サーモス 水筒 2wayコップ付き 600/800ml	サーモス 水筒 600ml 800ml 2way コップ付き 直飲み ステンレス FJJ （ THERMOS 保温 保冷 子供 ステンレスボトル スポーツドリンク対応 ダイレクト ボトル コップ飲み キッズ ワンタッチ ショルダーベルト スポーツボトル ）	FJJ-802WF BKY	サーモス	種類1:2|種類2:8	種類1:600ml|種類2:パープルピンク（FJJ-602WF）	4700	4920	qty=9	color_unspecified,price_mismatch	2026-09-21T11:50:39Z	campkit-20260921-25	uni481169-BKYW/800ml/ブラックイエロー（FJJ-802WF）
compact-portable-power	3	bluetti-eb3a	0	200	BLUETTI EB3A 268Wh（130Wソーラーパネルセット）	【在庫一掃 クーポン利用で23,030円】BLUETTI ポータブル電源 268Wh EB3A セット130Wソーラーパネル 600W出力 家庭用 軽量 小型 蓄電池 高速充電 ソーラーパネル セット ポータブルバッテリー リン酸鉄 長寿命 2500回サイクル 停電 アウトドア キャンプ 車中泊 非常用	EB3A	BLUETTI	ポータブル電源のカラー:1|ソーラーパネル:3	ポータブル電源のカラー:EB3A 268Wh スチールグレー|ソーラーパネル:なし	32900	32900	qty=64	spec_mismatch,set_mismatch	2026-09-21T11:50:39Z	campkit-20260921-25	bluettijapan_eb3a/EB3A 268Wh スチールグレー/なし
inflatable-mat	1	aiflycy-inflatable	0	200	Aiflycy インフレーターマット 厚手8/10cm 枕付き 幅75cm 自動膨張式 極厚 車中泊マット	【15%OFF！￥7480→￥6358】【my best空気入れやすさno.1】キャンプ マット 厚手【枕付き史上最大幅75cm追加】インフレーターマット 8/10cm アウトドアマット 自動膨張式 イインフレータブルマット 車中泊マット キャンプマット 極厚 コンパクト 防災マット 《3sp02》	sp02	camdoor	幅さ:3|厚さ:2|カラー:16	幅さ:プレミアムサイズ（幅70cm）|厚さ:8cm|カラー:ベージュ	6680	8480	qty=18	spec_mismatch,color_unspecified,size_unspecified,price_mismatch	2026-09-21T11:50:40Z	campkit-20260921-25	sp0210kaqi/プレミアムサイズ（幅70cm）/10cm/ベージュ
large-tarp-recommend	2	fielddoor-onetouch-3x3	0	200	FIELDOOR ワンタッチタープテント 3m×3m 頑丈スチールフレーム UVカット 撥水 日よけ 1年保証	【楽天1位】遮光/遮熱モデル追加！FIELDOOR ワンタッチタープテント 3m×3m 頑丈 スチール テント タープ 300 3.0m ワンタッチテント ワンタッチタープ ワンタッチ 大型 簡単 UVカット 撥水 日よけ プール イベント アウトドア キャンプ BBQ 1年保証 ★ [送料無料]	ワンタッチタープテント	FIELDOOR	【選べるロックタイプ】:2|【選べるトップカバー】:22|【追加で選べるオプションセット】:5	【選べるロックタイプ】:4点脚ロックタイプ|【選べるトップカバー】:標準：グリーン|【追加で選べるオプションセット】:タープ本体のみ	8800	10780	qty=1	color_unspecified,sale_page,price_mismatch	2026-09-21T11:50:40Z	campkit-20260921-25	154885/4点脚ロックタイプ/標準：グリーン/タープ本体のみ
one-touch-tent	1	fielddoor-onetouch-200	0	200	FIELDOOR ワンタッチテント 200cm 2〜4人用 遮光・遮熱UVカット スクエア型	【楽天1位】FIELDOOR テント ワンタッチ 200cm 2人用 3人用 4人用 中型 遮光 遮熱 UVカット 耐水 公園 ワンタッチテント ポップアップテント 日よけ サンシェード メッシュドームテント 簡易テント 簡単 外遊び ピクニック フルクローズ 1年保証 ★ [送料無料]	フルクローズ サンシェードテント 200cm	FIELDOOR	カラー:2|セット:2	カラー:グレー|セット:テント本体のみ	7920	8910	qty=1	color_unspecified,price_mismatch	2026-09-21T11:50:40Z	campkit-20260921-25	a07579/グレー/テント本体のみ
outdoor-coffee-mill	5	mill-atlas	0	200	アトラス コーヒーミル セラミック臼式 ACG	アトラス コーヒーミル セラミック 臼式 手挽き 透明 ブラック ブラウン 手動 小型 スリム コンパクト 粗さ調整 挽き目調節 分解 丸洗い可能 洗いやすい コーヒーグラインダー キッチン キャンプ アウトドア グッドデザイン賞 受賞 カフェリンク ACG-BKP ACG-BRP	ACG-BKP	アトラス	カラー:2	カラー:ブラック	1998	1998	qty=153	color_unspecified	2026-09-21T11:50:40Z	campkit-20260921-25	acg-bkp/ブラック
pup-tent	3	soomloom-pup-tc	0	404	SoomLoom パップテント ノーマル/ビッグサイズ 軍幕 TC素材 ポリコットン ソロテント 防風防雨						8400			404,size_unspecified	2026-09-21T11:50:40Z	campkit-20260921-25	
stylish-camp-tent	1	tent-s-rank-1	0	404	5/6まで延長63%0FF！＼アレンジ自由自在の秘密基地／ GIMMICK (ギミック) パップテント m8 GM-TT3000 テント キャンプ アウトドア						20000			404,store_copy	2026-09-21T11:50:40Z	campkit-20260921-25	
